Timestamp,Scenario,Engine_Fault_State,EGT_Sensor_Health,Vibration_Sensor_Health,RunID,TimeStep,Prediction_FullDBN,Prediction_VanillaDBN,Prediction_RuleBased
2025-05-01 11:53:24.991125,Normal,Normal,OK,OK,0,161,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:25.991125,Normal,Normal,OK,OK,0,162,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:26.991125,Normal,Normal,OK,OK,0,163,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:27.991125,Normal,Normal,OK,OK,0,164,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:28.991125,Normal,Normal,OK,OK,0,165,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:29.991125,Normal,Normal,OK,OK,0,166,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:30.991125,Normal,Normal,OK,OK,0,167,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:31.991125,Normal,Normal,OK,OK,0,168,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:32.991125,Normal,Normal,OK,OK,0,169,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:33.991125,Normal,Normal,OK,OK,0,170,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:34.991125,Normal,Normal,OK,OK,0,171,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:35.991125,Normal,Normal,OK,OK,0,172,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:36.991125,Normal,Normal,OK,OK,0,173,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:37.991125,Normal,Normal,OK,OK,0,174,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:38.991125,Normal,Normal,OK,OK,0,175,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:39.991125,Normal,Normal,OK,OK,0,176,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:40.991125,Normal,Normal,OK,OK,0,177,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:41.991125,Normal,Normal,OK,OK,0,178,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:42.991125,Normal,Normal,OK,OK,0,179,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:43.991125,Normal,Normal,OK,OK,0,180,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:44.991125,Normal,Normal,OK,OK,0,181,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:45.991125,Normal,Normal,OK,OK,0,182,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:46.991125,Normal,Normal,OK,OK,0,183,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:47.991125,Normal,Normal,OK,OK,0,184,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:48.991125,Normal,Normal,OK,OK,0,185,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:49.991125,Normal,Normal,OK,OK,0,186,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:50.991125,Normal,Normal,OK,OK,0,187,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:51.991125,Normal,Normal,OK,OK,0,188,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:52.991125,Normal,Normal,OK,OK,0,189,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:53.991125,Normal,Normal,OK,OK,0,190,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:54.991125,Normal,Normal,OK,OK,0,191,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:55.991125,Normal,Normal,OK,OK,0,192,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:56.991125,Normal,Normal,OK,OK,0,193,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:57.991125,Normal,Normal,OK,OK,0,194,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
